site_liste,long,lat
tihore,2.633916667,12.86705
bani_zoumbou__tchouro_ham_,2.471433333,13.12933333
foulan_zam,2.879683333,13.32685
djogo_koira,2.95565,12.90178333
kolbou_peulh,2.968466667,13.36515
tombo_gaboakoye__rcv____mai_gari_koira___,0,0
goumbi__kongore_loutou_koira_,2.943766667,13.55331667
koulou_peulh__gao_bangou_,2.970083333,13.60991667
barbe_sire,2.865716667,13.17033333
doulouwel_djerma,2.772333333,13.21318333
fandoga,2.9115,13.1705
chagari_peulh,3.551833333,12.52865
gueza_bissala,3.5206,12.41915
tounga_mai_tela,3.616666667,12.62818333
tsamia_firore,3.59735,12.61103333
angoual_zanaou__angoual_baraze_,0,0
angoul_doua_abarchi,3.60495,12.7576
garin_sabo__dan_mangoro_,0,0
kalgo_peulh,3.644016667,12.82195
tounga_basso,0,0
tribu_i__rouga_angoual_damagani_,0,0
angoual_kassa,4.292433333,13.82305
fanna_garre,4.180783333,13.82235
garin_tabadadaje,4.35735,13.67313333
gigalawa,4.181833333,13.5788
kalgo,4.19115,13.49546667
rouga_kara,4.196483333,13.72016667
arawa_doutchi,4.022766667,13.64381667
herey,0,0
akoira_peulh,4.372683333,14.18298333
doula,4.339716667,14.20125
doutchi_zango,4.413883333,14.27668333
inates_ii,4.270816667,14.21416667
kadade,4.1703,14.07556667
mayssoro_dagna,4.157583333,14.0515
rouga_kantcham,4.045366667,13.36583333
tareitache,4.021583333,13.5142
belaye_ambouta,4.06055,13.97198333
birnin_lokoyo,4.038683333,13.8054
doundaye__garin_boka_,3.888966667,13.82966667
garin_issaka,3.994533333,13.86561667
garin_mani,0,0
garin_moutari,3.88225,13.82011667
garin_salaou,3.89115,13.82891667
garin_sani,0,0
garin_tagoua,3.989716667,13.8751
goriba,4.0607,13.85641667
haoussawa,4.05975,13.93758333
salga_angoual_kaji,4.150533333,13.93488333
bawadawa,4.04785,14.09381667
dagazaria,3.930066667,13.98045
kolifo,3.94605,13.97576667
marina,3.807483333,14.12283333
sakarou,3.934733333,14.0152
toudoun_biri_ii,4.01935,14.11165
toudoun_gao,4.04755,14.10961667
toulou_warkou,3.942016667,14.29298333
dede_chantier,3.215733333,12.59806667
libo_zeno,3.379166667,12.48286667
tombon_garba,3.261333333,12.37698333
banikoubey_niandou,3.103833333,13.40493333
campement_peulh_poullo_kari,3.095833333,13.33338333
marigouna,3.171416667,12.60538333
tchiara_dole,3.0485,12.95643333
tibi_tagui,3.185883333,12.54463333
rcv_koumbokoy_dey,3.270883333,12.9252
aouli_koara,3.49245,12.89626667
bolbol_kodi_badoum,3.5321,12.90828333
diankourana_koira,3.47885,13.04961667
zanga_babadey,3.487383333,12.82845
ladan_dey,3.524883333,13.50156667
say_tombo,3.398316667,13.31433333
tchoulan,3.38435,13.37331667
campement_peulh__gabikane_,3.064533333,12.30275
kobki_tanda,3.114483333,12.46861667
marafa_koira,3.39405,12.87171667
anka_dey,3.542583333,13.21191667
campement_peulh__fandobon_tombo_,3.459533333,13.238
farera,3.441866667,13.32181667
tanda,3.6033,13.33435
boube_koira,3.789233333,13.48126667
diguinaboun_zounkoara,0,0
marake,3.878816667,13.46191667
zanga_koara,3.628933333,13.09891667
tchantchoga_peulh,0,0
zongo_koira,2.999033333,12.30038333
bouringa_beri,2.8881,12.59795
darfou_tounga,3.266716667,12.01975
gondo_guinde_alfagay_belande_,3.263933333,12.0521
goungo_ra,3.263183333,12.04211667
guawado,3.292183333,12.04041667
mango_do,3.310866667,12.0271
tanda_koyekoira,3.2527,12.07433333
thielkabaye_koungou,3.30365,12.0426
tribu_albarkaize,3.2228,12.122
ladan_koira,3.630933333,11.737
garin_goni_1,3.302083333,12.24538333
garin_ladan,3.477933333,12.11685
illela,3.553816667,12.21275
jarin_wanke,3.438466667,12.21545
tombo_kaina,3.421633333,12.09611667
tounga_maissadje,3.445966667,12.3216
falwel,3.593,13.52325
guida_ga,3.613533333,13.5373
kodey,3.71585,13.60116667
kofiti,3.53785,13.65321667
sarkin_noma_koira,3.64165,13.46963333
djibo_dey,3.444483333,13.56395
sabarara,3.320616667,13.66385
tombo_tameye,3.37865,13.55591667
tounga_gazari,3.936083333,13.04571667
garin_madi_toude_zarma_,3.803383333,12.67181667
garin_nabade,3.806983333,12.8772
houri,3.798416667,12.85385
kobia_tounga_noma,3.845966667,12.69441667
sabon_gari,3.8994,12.98626667
wassangou,3.801966667,12.90738333
fadina,3.759666667,13.18063333
illela,3.8041,13.3136
rouga_maman_maouda,0,0
rougal_alou_hama,0,0
garin_dambo_doubou,4.095766667,13.22821667
garin_maitoukane,0,0
rey___rey,0,0
sarmakon_toudou,4.0741,13.1683
tombon_bouya,0,0
wagifa,0,0
zayrou,0,0
adgoul,0,0
arigoulane,6.48005,15.78605
chinetagharnane,6.24755,16.05296667
chiremene,6.29225,15.61076667
inabalasse,6.285166667,15.45183333
inwala_ii,6.285166667,15.45183333
tadjagarate,6.47935,15.61231667
tagalalte_chinwalaghane,6.293733333,15.6591
takakout,6.18705,15.74455
tan_wili,6.5314,15.68198333
tanafi,0,0
tantibass,6.105033333,15.73166667
terghess_tan_babi,6.201333333,15.54395
achetaboukoumt,5.887733333,15.37296667
bargagi_peulh,5.954516667,15.10005
chimgarzenatt,5.875633333,15.04718333
tabalak,0,0
tassako_tassakok,6.239116667,15.15086667
tazek_i,6.183183333,15.29696667
tinilat,6.0273,15.28491667
wanalhawa,5.942183333,15.16835
wanalhawa_tantelinte,5.94065,15.19051667
attoun_gour,0,0
hadukan_sara,6.404733333,14.79186667
waka_wala,6.487416667,14.75411667
intougouzou_iboyaran,0,0
marbadama,5.736383333,15.07046667
salam_lekoum,5.676266667,15.26175
sofoua_mararaba_kao,5.798816667,15.23003333
zango_kajigo_,0,0
tchiziyan,6.253483333,15.68311667
waktanna,7.0966,15.64251667
akassou_folakana,4.433516667,14.64106667
