"","index","value","variable","has_issue","issue_type"
"1",NA,"Fond pour renforcer l activité de restauration /// instances: 1","abna_aide_autre",TRUE,"'other' response. may need recoding."
"2",NA,"Paille composant l'habitat epuisé /// instances: 1","abri_dommage_autre",TRUE,"'other' response. may need recoding."
"3",NA,"Tôle du toit dans une situation de vulnerabilitè lièe au rayons solaire et au fortes precipitations /// instances: 1","abri_dommage_autre",TRUE,"'other' response. may need recoding."
"4",NA,"Des que l'aide passe par les chefs de quartier y'a toimujours des problemes /// instances: 1","aide_barriere_autre",TRUE,"'other' response. may need recoding."
"5",NA,"Discrimination dans la distribution /// instances: 2","aide_barriere_autre",TRUE,"'other' response. may need recoding."
"6",NA,"Discrimination relative à la distribution /// instances: 1","aide_barriere_autre",TRUE,"'other' response. may need recoding."
"7",NA,"Il y a trop de discrimination dans le partage de l'aide /// instances: 1","aide_barriere_autre",TRUE,"'other' response. may need recoding."
"8",NA,"Jamais recu de l'aide /// instances: 1","aide_barriere_autre",TRUE,"'other' response. may need recoding."
"9",NA,"Le partage n'est pas bien fait, trop de partialité /// instances: 1","aide_barriere_autre",TRUE,"'other' response. may need recoding."
"10",NA,"Souvent l'aide nous viennent tardivement /// instances: 1","aide_barriere_autre",TRUE,"'other' response. may need recoding."
"11",NA,"Moustiquaire /// instances: 1","aide_recue_type_autre",TRUE,"'other' response. may need recoding."
"12",NA,"Moustiquaires /// instances: 1","aide_recue_type_autre",TRUE,"'other' response. may need recoding."
"13",NA,"Absence de centre de sante poir la population civile /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"14",NA,"Absence de centre de santè pour la population civile locale /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"15",NA,"Aucun barriere /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"16",NA,"Aucune barriere /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"17",NA,"Aucune prise en charge /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"18",NA,"L'Enquêtée ne travaille pas pour l'Etat /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"19",NA,"Longue attente /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"20",NA,"LONGUE ATTENTE /// instances: 2","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"21",NA,"Manque d'accueil par le personnel soignant /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"22",NA,"Manques  de moyens comme argent /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"23",NA,"Mauvais accueil a l égard des patients /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"24",NA,"Mauvais accueil pour les patients /// instances: 1","barriere_service_sante_autre",TRUE,"'other' response. may need recoding."
"25",NA,"Le chef de ménage et sa mère /// instances: 1","decision_ressource_autre",TRUE,"'other' response. may need recoding."
"26",NA,"Les deux /// instances: 4","decision_ressource_autre",TRUE,"'other' response. may need recoding."
"27",NA,"ONG qui prend en charge /// instances: 1","decision_ressource_autre",TRUE,"'other' response. may need recoding."
"28",NA,"Elles n'ont pas  encore  atteint  l'âge. /// instances: 1","desco_primaire_fille_autre",TRUE,"'other' response. may need recoding."
"29",NA,"Il n'ya pas des filles de cet interval dans la maison en dehors de celle qui a 12ans /// instances: 1","desco_primaire_fille_autre",TRUE,"'other' response. may need recoding."
"30",NA,"Je prefère ne pas envoyer mes filles à l'ecole /// instances: 1","desco_primaire_fille_autre",TRUE,"'other' response. may need recoding."
